阿伦方差,a'lun'fang'cha
单元尺寸,dan'yuan'chi'cun
胆甾相液晶,dan'zai'xiang'ye'jing
单轴型铁氧体,dan'zhou'xing'tie'yang'ti
挡板,dang'ban
挡板阀,dang'ban'fa
道比,dao'bi
导波,dao'bo
导出包络,dao'chu'bao'luo
导带,dao'dai
导电箔,dao'dian'bo
导电图形,dao'dian'tu'xing
导管电极,dao'guan'dian'ji
导航,dao'hang
导航雷达,dao'hang'lei'da
导航卫星,dao'hang'wei'xing
倒角,dao'jiao
导抗,dao'kang
导抗电桥,dao'kang'dian'qiao
道宽,dao'kuan
导联系统,dao'lian'xi'tong
导流系数,dao'liu'xi'shu
导纳,dao'na
导纳圆图,dao'na'yuan'tu
导频信号,dao'pin'xin'hao
倒谱,dao'pu
导线,dao'xian
倒向场聚焦,dao'xiang'chang'ju'jiao
倒相器,dao'xiang'qi
倒向天线,dao'xiang'tian'xian
刀形天线,dao'xing'tian'xian
倒序,dao'xu
德拜长度,de'bai'chang'du
等波纹逼近,deng'bo'wen'bi'jin
等电子中心,deng'dian'zi'zhong'xin
等多普勒频移线,deng'duo'pu'le'pin'yi'xian
等幅传输,deng'fu'chuan'shu
等幅面,deng'fu'mian
等高显示器,deng'gao'xian'shi'qi
等级网,deng'ji'wang
等精度曲线,deng'jing'du'qu'xian
等静压,deng'jing'ya
等离子,deng'li'zi
等离子体,deng'li'zi'ti
等离子体不稳定性,deng'li'zi'ti'bu'wen'ding'xing
等离子体耦合器件,deng'li'zi'ti'ou'he'qi'jian
等离子体频率,deng'li'zi'ti'pin'lv
等离子体诊断,deng'li'zi'ti'zhen'duan
等平面隔离,deng'ping'mian'ge'li
等平面工艺,deng'ping'mian'gong'yi
等平面集成注入逻辑,deng'ping'mian'ji'cheng'zhu'ru'luo'ji
灯丝,deng'si
灯丝变压器,deng'si'bian'ya'qi
等位面,deng'wei'mian
等温退火,deng'wen'tui'huo
等相面,deng'xiang'mian
等效电源定理,deng'xiao'dian'yuan'ding'li
等效辐射温度,deng'xiao'fu'she'wen'du
等效网络,deng'xiao'wang'luo
等效隙缝,deng'xiao'xi'feng
等效噪声反射率,deng'xiao'zao'sheng'fan'she'lv
等效噪声功率,deng'xiao'zao'sheng'gong'lv
等效噪声温差,deng'xiao'zao'sheng'wen'cha
地表路由选择,di'biao'lu'you'xuan'ze
地波,di'bo
地电阻表,di'dian'zu'biao
迪尔,di'er
低分辨率数字电视,di'fen'bian'lv'shu'zi'dian'shi
递归文法,di'gui'wen'fa
递归语言,di'gui'yu'yan
低碱瓷,di'jian'ci
低截获率雷达,di'jie'huo'lv'lei'da
低空搜索雷达,di'kong'sou'suo'lei'da
低码率编码,di'ma'lv'bian'ma
地面导航设备,di'mian'dao'hang'she'bei
地面通信线路,di'mian'tong'xin'xian'lu
地面指挥进近系统,di'mian'zhi'hui'jin'jin'xi'tong
低能电子衍射,di'neng'dian'zi'yan'she
低能离子散射,di'neng'li'zi'san'she
低频,di'pin
低频放大器,di'pin'fang'da'qi
低频通信,di'pin'tong'xin
低频响应,di'pin'xiang'ying
低频振荡器,di'pin'zhen'dang'qi
低气压试验,di'qi'ya'shi'yan
地球观测系统,di'qiu'guan'ce'xi'tong
地球站,di'qiu'zhan
地速,di'su
低通滤波器,di'tong'lv'bo'qi
地图测绘雷达,di'tu'ce'hui'lei'da
地图匹配导航,di'tu'pi'pei'dao'hang
低温泵,di'wen'beng
低温电子学,di'wen'dian'zi'xue
低温试验,di'wen'shi'yan
敌我识别,di'wo'shi'bie
地形跟踪雷达,di'xing'gen'zong'lei'da
地形跟踪系统,di'xing'gen'zong'xi'tong
地形回避雷达,di'xing'hui'bi'lei'da
低压,di'ya
第一闪烁体,di'yi'shan'shuo'ti
低噪声放大器,di'zao'sheng'fang'da'qi
低真空,di'zhen'kong
地址存取时间,di'zhi'cun'qu'shi'jian
电按摩,dian'an'mo
电报,dian'bao
电报网,dian'bao'wang
电报学,dian'bao'xue
电波暗室,dian'bo'an'shi
点播信息,dian'bo'xin'xi
电场,dian'chang
电唱盘,dian'chang'pan
电场强度,dian'chang'qiang'du
电传,dian'chuan
电传机,dian'chuan'ji
电磁泵,dian'ci'beng
电磁波,dian'ci'bo
电磁场,dian'ci'chang
电磁阀,dian'ci'fa
电刺激,dian'ci'ji
电磁继电器,dian'ci'ji'dian'qi
电磁兼容,dian'ci'jian'rong
电磁屏蔽室,dian'ci'ping'bi'shi
电磁谱,dian'ci'pu
电磁透镜,dian'ci'tou'jing
电导,dian'dao
电导率,dian'dao'lv
电动传声器,dian'dong'chuan'sheng'qi
电动耳机,dian'dong'er'ji
电动阀,dian'dong'fa
电动势,dian'dong'shi
电动扬声器,dian'dong'yang'sheng'qi
电感,dian'gan
电感器,dian'gan'qi
电光晶体,dian'guang'jing'ti
电光晶体光阀,dian'guang'jing'ti'guang'fa
电光陶瓷,dian'guang'tao'ci
电光调制,dian'guang'tiao'zhi
点焊,dian'han
电荷,dian'he
电荷泵,dian'he'beng
电荷存储二极管,dian'he'cun'chu'er'ji'guan
电荷灵敏前置放大器,dian'he'ling'min'qian'zhi'fang'da'qi
电荷耦合成象器件,dian'he'ou'he'cheng'xiang'qi'jian
电荷耦合器件,dian'he'ou'he'qi'jian
电荷耦合器件存储器,dian'he'ou'he'qi'jian'cun'chu'qi
电荷耦合器件延迟线,dian'he'ou'he'qi'jian'yan'chi'xian
电荷引发器件,dian'he'yin'fa'qi'jian
电荷注入器件,dian'he'zhu'ru'qi'jian
电荷转移器件,dian'he'zhuan'yi'qi'jian
电呼吸描记术,dian'hu'xi'miao'ji'shu
电话,dian'hua
电话机,dian'hua'ji
电话网,dian'hua'wang
电话学,dian'hua'xue
电化致变色,dian'hua'zhi'bian'se
电极,dian'ji
淀积率,dian'ji'lv
点接触二极管,dian'jie'chu'er'ji'guan
点接触太阳电池,dian'jie'chu'tai'yang'dian'chi
电解电容器,dian'jie'dian'rong'qi
电抗,dian'kang
电抗定理,dian'kang'ding'li
电抗器,dian'kang'qi
电抗网络,dian'kang'wang'luo
电控双折射模式,dian'kong'shuang'zhe'she'mo'shi
点扩展函数,dian'kuo'zhan'han'shu
电离,dian'li
电离比,dian'li'bi
电离层传播,dian'li'ceng'chuan'bo
电离层散射通信,dian'li'ceng'san'she'tong'xin
电力电子学,dian'li'dian'zi'xue
电离能,dian'li'neng
电离室,dian'li'shi
电离张弛振荡,dian'li'zhang'chi'zhen'dang
电离真空计,dian'li'zhen'kong'ji
电疗法,dian'liao'fa
电流,dian'liu
电流表,dian'liu'biao
电流放大器,dian'liu'fang'da'qi
电流分配比,dian'liu'fen'pei'bi
电流开关型逻辑,dian'liu'kai'guan'xing'luo'ji
电路,dian'lu
电路仿真,dian'lu'fang'zhen
电路交换,dian'lu'jiao'huan
电路提取,dian'lu'ti'qu
电麻醉,dian'ma'zui
点目标,dian'mu'biao
电纳,dian'na
电脑,dian'nao
电啮合长度,dian'nie'he'chang'du
电凝法,dian'ning'fa
电偶极子,dian'ou'ji'zi
电抛光,dian'pao'guang
电平,dian'ping
电平表,dian'ping'biao
电平漂移二极管,dian'ping'piao'yi'er'ji'guan
电平指示器,dian'ping'zhi'shi'qi
电迁徙,dian'qian'xi
电桥,dian'qiao
电切术,dian'qie'shu
点缺陷,dian'que'xian
电容,dian'rong
电容传声器,dian'rong'chuan'sheng'qi
电容电压法,dian'rong'dian'ya'fa
电容量允差,dian'rong'liang'yun'cha
电容率,dian'rong'lv
电容器,dian'rong'qi
电扫伏尔天线阵,dian'sao'fu'er'tian'xian'zhen
电扫雷达,dian'sao'lei'da
电声器件,dian'sheng'qi'jian
电视,dian'shi
电势,dian'shi
电视会议,dian'shi'hui'yi
电视机,dian'shi'ji
电视监视器,dian'shi'jian'shi'qi
电视控制中心,dian'shi'kong'zhi'zhong'xin
电视摄象机,dian'shi'she'xiang'ji
电视演播室,dian'shi'yan'bo'shi
电视制式转换器,dian'shi'zhi'shi'zhuan'huan'qi
电视转发器差转机,dian'shi'zhuan'fa'qi'cha'zhuan'ji
电枢控制,dian'shu'kong'zhi
碘酸锂晶体,dian'suan'li'jing'ti
电碎石法,dian'sui'shi'fa
电台磁方位,dian'tai'ci'fang'wei
电台方位,dian'tai'fang'wei
电台航向,dian'tai'hang'xiang
电调滤波器,dian'tiao'lv'bo'qi
电调振荡器,dian'tiao'zhen'dang'qi
点通信,dian'tong'xin
电透药法,dian'tou'yao'fa
点图,dian'tu
电位,dian'wei
电位差,dian'wei'cha
电位降,dian'wei'jiang
电位器,dian'wei'qi
电位梯度,dian'wei'ti'du
电文,dian'wen
电文交换,dian'wen'jiao'huan
电细胞融合,dian'xi'bao'rong'he
电线电缆,dian'xian'dian'lan
电信,dian'xin
电信函处理系统,dian'xin'han'chu'li'xi'tong
电信业务,dian'xin'ye'wu
电信业务工程,dian'xin'ye'wu'gong'cheng
电休克,dian'xiu'ke
电压,dian'ya
电压表,dian'ya'biao
电压放大器,dian'ya'fang'da'qi
电压控制雪崩振荡器,dian'ya'kong'zhi'xue'beng'zhen'dang'qi
电压敏感器,dian'ya'min'gan'qi
电压切转充电,dian'ya'qie'zhuan'chong'dian
电压梯度,dian'ya'ti'du
电压调谐磁控管,dian'ya'tiao'xie'ci'kong'guan
电压驻波比,dian'ya'zhu'bo'bi
电泳显示,dian'yong'xian'shi
电源,dian'yuan
电源变压器,dian'yuan'bian'ya'qi
电晕,dian'yun
电晕放电,dian'yun'fang'dian
电晕计数器,dian'yun'ji'shu'qi
点阵曲率,dian'zhen'qu'lv
电针术,dian'zhen'shu
电致变色,dian'zhi'bian'se
电致变色显示,dian'zhi'bian'se'xian'shi
电致发光,dian'zhi'fa'guang
电致发光显示,dian'zhi'fa'guang'xian'shi
电致伸缩陶瓷,dian'zhi'shen'suo'tao'ci
电轴,dian'zhou
电子,dian'zi
电子保密,dian'zi'bao'mi
电子测量,dian'zi'ce'liang
电子电话电路,dian'zi'dian'hua'dian'lu
电子电压表,dian'zi'dian'ya'biao
电子对抗,dian'zi'dui'kang
电子发射,dian'zi'fa'she
电子反对抗,dian'zi'fan'dui'kang
电子反对抗改善因子,dian'zi'fan'dui'kang'gai'shan'yin'zi
电子肺量计,dian'zi'fei'liang'ji
电子干扰,dian'zi'gan'rao
电子感生解吸,dian'zi'gan'sheng'jie'xi
电子工程学,dian'zi'gong'cheng'xue
电子管,dian'zi'guan
电子光学,dian'zi'guang'xue
电子轨迹,dian'zi'gui'ji
电子回轰,dian'zi'hui'hong
电子回旋共振加热,dian'zi'hui'xuan'gong'zhen'jia're
电子计算机,dian'zi'ji'suan'ji
电子块,dian'zi'kuai
电子欺骗,dian'zi'qi'pian
电子枪,dian'zi'qiang
电子亲和势,dian'zi'qin'he'shi
电子情报,dian'zi'qing'bao
电子群聚,dian'zi'qun'ju
电子扫描,dian'zi'sao'miao
电子束,dian'zi'shu
电子束半导体器件,dian'zi'shu'ban'dao'ti'qi'jian
电子束曝光系统,dian'zi'shu'bao'guang'xi'tong
电子束泵浦,dian'zi'shu'beng'pu
电子束参量放大器,dian'zi'shu'can'liang'fang'da'qi
电子束光刻,dian'zi'shu'guang'ke
电子束光刻胶,dian'zi'shu'guang'ke'jiao
电子束切片,dian'zi'shu'qie'pian
电子束蒸发,dian'zi'shu'zheng'fa
电子探针,dian'zi'tan'zhen
电子陶瓷,dian'zi'tao'ci
电子体温计,dian'zi'ti'wen'ji
电子听诊器,dian'zi'ting'zhen'qi
电子透镜,dian'zi'tou'jing
电子伪装,dian'zi'wei'zhuang
电子物理学,dian'zi'wu'li'xue
电子陷阱,dian'zi'xian'jing
电子相阵扇形扫描,dian'zi'xiang'zhen'shan'xing'sao'miao
电子效率,dian'zi'xiao'lv
电子信函,dian'zi'xin'han
电子学,dian'zi'xue
电子血压计,dian'zi'xue'ya'ji
电子眼压计,dian'zi'yan'ya'ji
电子仪器仪表,dian'zi'yi'qi'yi'biao
电子邮件,dian'zi'you'jian
电子元器件,dian'zi'yuan'qi'jian
电子元器件网,dian'zi'yuan'qi'jian'wang
电子战,dian'zi'zhan
电子侦察,dian'zi'zhen'cha
电子支援措施,dian'zi'zhi'yuan'cuo'shi
电子注,dian'zi'zhu
电阻,dian'zu
电阻表,dian'zu'biao
电阻海,dian'zu'hai
电阻率,dian'zu'lv
电阻器,dian'zu'qi
调角,diao'jiao
凋落模,diao'luo'mo
调相器,diao'xiang'qi
叠层干电池,die'ceng'gan'dian'chi
叠加定理,die'jia'ding'li
跌落试验,die'luo'shi'yan
蝶式运算,die'shi'yun'suan
定标器,ding'biao'qi
定常系统,ding'chang'xi'tong
定电流放电,ding'dian'liu'fang'dian
定电阻放电,ding'dian'zu'fang'dian
定界符,ding'jie'fu
顶空盲区,ding'kong'mang'qu
丁类放大器,ding'lei'fang'da'qi
定片真空泵,ding'pian'zhen'kong'beng
定时恢复,ding'shi'hui'fu
定时鉴别器,ding'shi'jian'bie'qi
定时滤波放大器,ding'shi'lv'bo'fang'da'qi
定失效数寿命试验,ding'shi'xiao'shu'shou'ming'shi'yan
定位,ding'wei
定位槽,ding'wei'cao
定位重复误差,ding'wei'chong'fu'wu'cha
定位均方根误差,ding'wei'jun'fang'gen'wu'cha
定位孔,ding'wei'kong
定向,ding'xiang
定向传声器,ding'xiang'chuan'sheng'qi
定向耦合器,ding'xiang'ou'he'qi
定向太阳电池阵,ding'xiang'tai'yang'dian'chi'zhen
定向天线,ding'xiang'tian'xian
定性信息,ding'xing'xin'xi
定制集成电路,ding'zhi'ji'cheng'dian'lu
定值指令,ding'zhi'zhi'ling
动量传输泵,dong'liang'chuan'shu'beng
动目标显示雷达,dong'mu'biao'xian'shi'lei'da
氡气仪,dong'qi'yi
动圈传声器,dong'quan'chuan'sheng'qi
动态范围,dong'tai'fan'wei
动态复用,dong'tai'fu'yong
动态功能检查仪,dong'tai'gong'neng'jian'cha'yi
动态滤波器,dong'tai'lv'bo'qi
动态散射模式,dong'tai'san'she'mo'shi
动态心电图监护系统,dong'tai'xin'dian'tu'jian'hu'xi'tong
动作电位,dong'zuo'dian'wei
抖动,dou'dong
抖动调谐磁控管,dou'dong'tiao'xie'ci'kong'guan
抖晃,dou'huang
斗链器件,dou'lian'qi'jian
读出放大器,du'chu'fang'da'qi
独立基线,du'li'ji'xian
独石陶瓷电容器,du'shi'tao'ci'dian'rong'qi
都市网,du'shi'wang
渡越时间,du'yue'shi'jian
堵转励磁电流,du'zhuan'li'ci'dian'liu
堵转励磁功率,du'zhuan'li'ci'gong'lv
堵转特性,du'zhuan'te'xing
堵转转矩,du'zhuan'zhuan'ju
端泵浦,duan'beng'pu
短波,duan'bo
短波通信,duan'bo'tong'xin
短程透镜天线,duan'cheng'tou'jing'tian'xian
端电压,duan'dian'ya
短沟效应,duan'gou'xiao'ying
短截线,duan'jie'xian
端口,duan'kou
短路线,duan'lu'xian
短路终端,duan'lu'zhong'duan
短腔选模,duan'qiang'xuan'mo
端射阵天线,duan'she'zhen'tian'xian
端效应,duan'xiao'ying
断续指令,duan'xu'zhi'ling
对称网络,dui'chen'wang'luo
对称信道,dui'chen'xin'dao
对称信源,dui'chen'xin'yuan
对称振子天线,dui'chen'zhen'zi'tian'xian
堆垛层错,dui'duo'ceng'cuo
堆积效应,dui'ji'xiao'ying
对流层传播,dui'liu'ceng'chuan'bo
对流层散射通信,dui'liu'ceng'san'she'tong'xin
对偶码,dui'ou'ma
对偶网络,dui'ou'wang'luo
对数放大器,dui'shu'fang'da'qi
对数率表,dui'shu'lv'biao
对数周期天线,dui'shu'zhou'qi'tian'xian
对位黄碲矿晶体,dui'wei'huang'di'kuang'jing'ti
对准精度,dui'zhun'jing'du
钝化工艺,dun'hua'gong'yi
多波群信号,duo'bo'qun'xin'hao
多波束雷达,duo'bo'shu'lei'da
多波束天线,duo'bo'shu'tian'xian
多步雪崩室,duo'bu'xue'beng'shi
多层布线,duo'ceng'bu'xian
多层光刻胶,duo'ceng'guang'ke'jiao
多层介质钝化,duo'ceng'jie'zhi'dun'hua
多层金属化,duo'ceng'jin'shu'hua
多层印制板,duo'ceng'yin'zhi'ban
多重处理,duo'chong'chu'li
多重图,duo'chong'tu
多次抽样,duo'ci'chou'yang
多带生长,duo'dai'sheng'zhang
多道分析器,duo'dao'fen'xi'qi
多导生理记录仪,duo'dao'sheng'li'ji'lu'yi
多点通信,duo'dian'tong'xin
多端网络,duo'duan'wang'luo
多尔夫,duo'er'fu
多光谱扫描仪,duo'guang'pu'sao'miao'yi
多光谱相机,duo'guang'pu'xiang'ji
多光子吸收,duo'guang'zi'xi'shou
多基地雷达,duo'ji'di'lei'da
多碱光阴极,duo'jian'guang'yin'ji
多接入信道,duo'jie'ru'xin'dao
多结太阳电池,duo'jie'tai'yang'dian'chi
多晶,duo'jing
多晶硅,duo'jing'gui
多晶硅发射极晶体管,duo'jing'gui'fa'she'ji'jing'ti'guan
多晶硅太阳电池,duo'jing'gui'tai'yang'dian'chi
多径效应,duo'jing'xiao'ying
多孔玻璃,duo'kong'bo'li
多孔硅氧化隔离,duo'kong'gui'yang'hua'ge'li
多孔陶瓷,duo'kong'tao'ci
多口网络,duo'kou'wang'luo
多路单载波,duo'lu'dan'zai'bo
多路定标器,duo'lu'ding'biao'qi
多路驱动,duo'lu'qu'dong
多路通信,duo'lu'tong'xin
多路遥测,duo'lu'yao'ce
多媒体个人计算机,duo'mei'ti'ge'ren'ji'suan'ji
多媒体视频点播系统,duo'mei'ti'shi'pin'dian'bo'xi'tong
多媒体数据操作平台,duo'mei'ti'shu'ju'cao'zuo'ping'tai
多媒体数据管理,duo'mei'ti'shu'ju'guan'li
多媒体通信,duo'mei'ti'tong'xin
多媒体应用编程接口,duo'mei'ti'ying'yong'bian'cheng'jie'kou
多模光纤,duo'mo'guang'xian
多片电路,duo'pian'dian'lu
多普勒导航,duo'pu'le'dao'hang
多普勒伏尔,duo'pu'le'fu'er
多普勒跟踪,duo'pu'le'gen'zong
多普勒雷达,duo'pu'le'lei'da
多普勒卫导系统,duo'pu'le'wei'dao'xi'tong
多普勒展宽,duo'pu'le'zhan'kuan
多腔磁控管,duo'qiang'ci'kong'guan
多色穿透屏,duo'se'chuan'tou'ping
多色色散,duo'se'se'san
多数载流子,duo'shu'zai'liu'zi
多丝正比室,duo'si'zheng'bi'shi
多谐振荡器,duo'xie'zhen'dang'qi
多义度,duo'yi'du
多音指令,duo'yin'zhi'ling
多用表,duo'yong'biao
多用户信息论,duo'yong'hu'xin'xi'lun
多余辉穿透荧光屏,duo'yu'hui'chuan'tou'ying'guang'ping
多余因数,duo'yu'yin'shu
多元胞法,duo'yuan'bao'fa
多站多普勒系统,duo'zhan'duo'pu'le'xi'tong
多帧照相机,duo'zhen'zhao'xiang'ji
多址,duo'zhi
额定电压,e'ding'dian'ya
厄兰,e'lan
扼流关节,e'liu'guan'jie
扼流圈,e'liu'quan
扼流式活塞,e'liu'shi'huo'sai
恶性码,e'xing'ma
二次抽样,er'ci'chou'yang
二次雷达,er'ci'lei'da
二次相位因数,er'ci'xiang'wei'yin'shu
二次谐波发生,er'ci'xie'bo'fa'sheng
二端对网络,er'duan'dui'wang'luo
二端网络,er'duan'wang'luo
二硅化物,er'gui'hua'wu
耳机,er'ji
二极管,er'ji'guan
二极管泵浦,er'ji'guan'beng'pu
二极管电子枪,er'ji'guan'dian'zi'qiang
铒激光器,er'ji'guang'qi
二阶系统,er'jie'xi'tong
二口网络,er'kou'wang'luo
二维显示,er'wei'xian'shi
耳蜗电描记术,er'wo'dian'miao'ji'shu
二线制,er'xian'zhi
二氧化硅,er'yang'hua'gui
二氧化硅乳胶抛光,er'yang'hua'gui'ru'jiao'pao'guang
二氧化碳激光器,er'yang'hua'tan'ji'guang'qi
法布里,fa'bu'li
发光二极管,fa'guang'er'ji'guan
发光强度,fa'guang'qiang'du
发光效率,fa'guang'xiao'lv
法拉第效应,fa'la'di'xiao'ying
发射,fa'she
发射机,fa'she'ji
发射极耦合逻辑,fa'she'ji'ou'he'luo'ji
发射结,fa'she'jie
发射器,fa'she'qi
发射区,fa'she'qu
发射区陷落效应,fa'she'qu'xian'luo'xiao'ying
发现概率,fa'xian'gai'lv
范阿塔反射器,fan'a'ta'fan'she'qi
翻板阀,fan'ban'fa
返波,fan'bo
返波管,fan'bo'guan
返波振荡器,fan'bo'zhen'dang'qi
反冲质子计数器,fan'chong'zhi'zi'ji'shu'qi
反堆积,fan'dui'ji
反峰电压,fan'feng'dian'ya
反馈,fan'kui
反馈补偿,fan'kui'bu'chang
反馈回路,fan'kui'hui'lu
反馈校验,fan'kui'jiao'yan
反馈校正,fan'kui'jiao'zheng
反扩散,fan'kuo'san
反兰姆凹陷,fan'lan'mu'ao'xian
反雷达,fan'lei'da
反雷达伪装,fan'lei'da'wei'zhuang
返流,fan'liu
反迫击炮雷达,fan'pai'ji'pao'lei'da
反射,fan'she
反射电桥,fan'she'dian'qiao
反射高能电子衍射,fan'she'gao'neng'dian'zi'yan'she
反射计,fan'she'ji
反射空间,fan'she'kong'jian
反射率,fan'she'lv
泛射式电子枪,fan'she'shi'dian'zi'qiang
反射式跟踪,fan'she'shi'gen'zong
反射速调管,fan'she'su'diao'guan
反射系数,fan'she'xi'shu
反射形貌法,fan'she'xing'mao'fa
反渗透,fan'shen'tou
泛搜索路由选择,fan'sou'suo'lu'you'xuan'ze
反铁磁性,fan'tie'ci'xing
反铁电晶体,fan'tie'dian'jing'ti
反铁电陶瓷,fan'tie'dian'tao'ci
反同轴磁控管,fan'tong'zhou'ci'kong'guan
反向二极管,fan'xiang'er'ji'guan
反向击穿电压,fan'xiang'ji'chuan'dian'ya
反相器,fan'xiang'qi
反向损耗,fan'xiang'sun'hao
返修品,fan'xiu'pin
反隐形技术,fan'yin'xing'ji'shu
反应堆周期仪,fan'ying'dui'zhou'qi'yi
反应溅射,fan'ying'jian'she
反应溅射刻蚀,fan'ying'jian'she'ke'shi
反应离子刻蚀,fan'ying'li'zi'ke'shi
反应速率模型,fan'ying'su'lv'mo'xing
反应性仪,fan'ying'xing'yi
反应蒸发,fan'ying'zheng'fa
反转时间,fan'zhuan'shi'jian
方波,fang'bo
方波发生器,fang'bo'fa'sheng'qi
放大,fang'da
放电,fang'dian
放电率,fang'dian'lv
放电特性曲线,fang'dian'te'xing'qu'xian
方法误差,fang'fa'wu'cha
方角平屏显象管,fang'jiao'ping'ping'xian'xiang'guan
防静电,fang'jing'dian
方块电阻,fang'kuai'dian'zu
放射免疫仪器,fang'she'mian'yi'yi'qi
放射性活度测量仪,fang'she'xing'huo'du'ce'liang'yi
放射自显影,fang'she'zi'xian'ying
方位,fang'wei
方位标志,fang'wei'biao'zhi
方位显示器,fang'wei'xian'shi'qi
方位引导单元,fang'wei'yin'dao'dan'yuan
方向滤波器,fang'xiang'lv'bo'qi
放象头,fang'xiang'tou
方向效应,fang'xiang'xiao'ying
方向性,fang'xiang'xing
方向性增益,fang'xiang'xing'zeng'yi
防斜插连接器,fang'xie'cha'lian'jie'qi
方形蓄电池,fang'xing'xu'dian'chi
仿真器,fang'zhen'qi
仿真线,fang'zhen'xian
防撞雷达,fang'zhuang'lei'da
非本征半导体,fei'ben'zheng'ban'dao'ti
肺磁描记术,fei'ci'miao'ji'shu
飞点扫描仪,fei'dian'sao'miao'yi
非共格晶界,fei'gong'ge'jing'jie
非互易网络,fei'hu'yi'wang'luo
非互易移相器,fei'hu'yi'yi'xiang'qi
非晶磁性材料,fei'jing'ci'xing'cai'liao
非晶硅,fei'jing'gui
非晶硅太阳电池,fei'jing'gui'tai'yang'dian'chi
非晶态半导体,fei'jing'tai'ban'dao'ti
非均匀展宽,fei'jun'yun'zhan'kuan
非门,fei'men
菲涅耳等值线,fei'nie'er'deng'zhi'xian
菲涅耳区,fei'nie'er'qu
菲涅耳数,fei'nie'er'shu
非平衡载流子,fei'ping'heng'zai'liu'zi
非平面网络,fei'ping'mian'wang'luo
非平稳信道,fei'ping'wen'xin'dao
非稳定谐振腔,fei'wen'ding'xie'zhen'qiang
非卧床监护,fei'wo'chuang'jian'hu
非线绕电位器,fei'xian'rao'dian'wei'qi
非线性编辑,fei'xian'xing'bian'ji
非线性编辑系统,fei'xian'xing'bian'ji'xi'tong
非线性光混频,fei'xian'xing'guang'hun'pin
非线性光学,fei'xian'xing'guang'xue
非线性光学晶体,fei'xian'xing'guang'xue'jing'ti
非线性光学效应,fei'xian'xing'guang'xue'xiao'ying
非线性集成电路,fei'xian'xing'ji'cheng'dian'lu
非线性媒体编辑系统,fei'xian'xing'mei'ti'bian'ji'xi'tong
非线性失真,fei'xian'xing'shi'zhen
非线性网络,fei'xian'xing'wang'luo
非相干检测,fei'xiang'gan'jian'ce
飞行时间质谱仪,fei'xing'shi'jian'zhi'pu'yi
飞行时间中子谱仪,fei'xing'shi'jian'zhong'zi'pu'yi
非阈逻辑,fei'yu'luo'ji
非匀相成核,fei'yun'xiang'cheng'he
非终结符,fei'zhong'jie'fu
非周期天线,fei'zhou'qi'tian'xian
非自持放电,fei'zi'chi'fang'dian
非最小相位系统,fei'zui'xiao'xiang'wei'xi'tong
分辨带宽,fen'bian'dai'kuan
分辨力,fen'bian'li
分辨时间,fen'bian'shi'jian
分布,fen'bu
分布参数集成电路,fen'bu'can'shu'ji'cheng'dian'lu
分布参数网络,fen'bu'can'shu'wang'luo
分步重复系统,fen'bu'chong'fu'xi'tong
分布电容,fen'bu'dian'rong
分布反馈激光器,fen'bu'fan'kui'ji'guang'qi
分布目标,fen'bu'mu'biao
分布作用放大器,fen'bu'zuo'yong'fang'da'qi
分布作用速调管,fen'bu'zuo'yong'su'diao'guan
分布作用振荡器,fen'bu'zuo'yong'zhen'dang'qi
分层,fen'ceng
分层编码,fen'ceng'bian'ma
纷刺煜卟庀蚱,fen'ci'yu'bu'pi'zha
分割,fen'ge
分集,fen'ji
分级设计法,fen'ji'she'ji'fa
分级网,fen'ji'wang
分接,fen'jie
分离多径接收,fen'li'duo'jing'jie'shou
分离力,fen'li'li
分离连接器,fen'li'lian'jie'qi
分离折叠波导,fen'li'zhe'die'bo'dao
分路器,fen'lu'qi
分米波,fen'mi'bo
分米波通信,fen'mi'bo'tong'xin
粉末电致发光,fen'mo'dian'zhi'fa'guang
